🎲 Texas Hold'em Poker Game Log 15 🎲
==================================================

📊 Detailed Game Log:
==================================================

🔄 Round 1
----------------------------------------
Initial State:
👤 Xun             | [♦️ 6] [♣️ 8]        | 💰  1000
👤 PlayerXinZhu    | [♠️ Q] [♠️ 3]        | 💰   995
👤 Elvis           | [♣️ A] [♠️ 4]        | 💰   990
👤 ZheyuX          | [♦️ T] [♥️ Q]        | 💰  1000

🎴 PREFLOP
Board: [  ]
👤 Elvis           | [♣️ 9] [♠️ 9]        | 💰  1060

🎴 PREFLOP
Board: [  ]
  Xun             | [♠️ K] [♥️ K] |   78.80% | ✅ call:$10
  PlayerXinZhu    | [♥️ 9] [♣️ 6] |   10.40% | ❌ fold
  Elvis           | [♣️ 9] [♠️ 9] |   19.20% | ⬆️ raise:$321
  Xun             | [♠️ K] [♥️ K] |   81.20% | ✅ call:$321

🎴 FLOP
Board: [ [♥️ J] [♣️ 8] [♠️ T] ]
  Elvis           | [♣️ 9] [♠️ 9] |   36.90% | ⬆️ raise:$224
  Xun             | [♠️ K] [♥️ K] |   63.70% | ✅ call:$224

🎴 TURN
Board: [ [♥️ J] [♣️ 8] [♠️ T] [♦️ 7] ]
  Elvis           | [♣️ 9] [♠️ 9] |  100.00% | ⬆️ raise:$525
  Xun             | [♠️ K] [♥️ K] |    4.80% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $   304 📉 (-545)
  PlayerXinZhu   : $  2075 ➡️ (+0)
  Elvis          : $  1620 📈 (+560)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 5
----------------------------------------
Initial State:
👤 Xun             | [♦️ Q] [♣️ T]        | 💰   294
👤 PlayerXinZhu    | [♠️ K] [♥️ 9]        | 💰  2075
👤 Elvis           | [♦️ 8] [♥️ 7]        | 💰  1615

🎴 PREFLOP
Board: [  ]
  PlayerXinZhu    | [♠️ K] [♥️ 9] |   37.50% | ⬆️ raise:$15
  Elvis           | [♦️ 8] [♥️ 7] |   24.90% | ❌ fold
  Xun             | [♦️ Q] [♣️ T] |   41.90% | ✅ call:$15

🎴 FLOP
Board: [ [♦️ K] [♣️ 2] [♦️ 9] ]
  Xun             | [♦️ Q] [♣️ T] |   17.40% | ✅ call
  PlayerXinZhu    | [♠️ K] [♥️ 9] |   82.60% | ⬆️ raise:$10
  Xun             | [♦️ Q] [♣️ T] |   17.40% | ✅ call:$10

🎴 TURN
Board: [ [♦️ K] [♣️ 2] [♦️ 9] [♥️ Q] ]
  Xun             | [♦️ Q] [♣️ T] |   10.90% | ✅ call
  PlayerXinZhu    | [♠️ K] [♥️ 9] |   89.10% | ⬆️ raise:$10
  Xun             | [♦️ Q] [♣️ T] |   10.90% | ❌ fold

🏆 Winner: PlayerXinZhu
Final Stacks:
  Xun            : $   279 📉 (-15)
  PlayerXinZhu   : $  2105 📈 (+30)
  Elvis          : $  1615 ➡️ (+0)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 6
----------------------------------------
Initial State:
👤 Xun             | [♦️ Q] [♦️ A]        | 💰   274
👤 PlayerXinZhu    | [♥️ T] [♥️ 7]        | 💰  2095
👤 Elvis           | [♥️ 4] [♠️ 9]        | 💰  1615

🎴 PREFLOP
Board: [  ]
  Elvis           | [♥️ 4] [♠️ 9] |   20.20% | ⬆️ raise:$15
  Xun             | [♦️ Q] [♦️ A] |   48.60% | ✅ call:$15
  PlayerXinZhu    | [♥️ T] [♥️ 7] |   32.00% | ❌ fold

🎴 FLOP
Board: [ [♥️ K] [♣️ K] [♥️ A] ]
  Xun             | [♦️ Q] [♦️ A] |   95.50% | ✅ call
  Elvis           | [♥️ 4] [♠️ 9] |    4.60% | ✅ call

🎴 TURN
Board: [ [♥️ K] [♣️ K] [♥️ A] [♥️ 8] ]
  Xun             | [♦️ Q] [♦️ A] |   79.60% | ✅ call
  Elvis           | [♥️ 4] [♠️ 9] |   20.40% | ⬆️ raise:$10
  Xun             | [♦️ Q] [♦️ A] |   79.60% | ✅ call:$10

🎴 RIVER
Board: [ [♥️ K] [♣️ K] [♥️ A] [♥️ 8] [♣️ A] ]
  Xun             | [♦️ Q] [♦️ A] |  100.00% | ⬆️ raise:$254
  Elvis           | [♥️ 4] [♠️ 9] |    0.00% | ⬆️ raise:$508

🏆 Winner: Xun
Final Stacks:
  Xun            : $   568 📈 (+294)
  PlayerXinZhu   : $  2095 ➡️ (+0)
  Elvis          : $  1336 📉 (-279)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 7
----------------------------------------
Initial State:
👤 Xun             | [♠️ J] [♥️ 5]        | 💰   568
👤 PlayerXinZhu    | [♥️ A] [♣️ 5]        | 💰  2090
👤 Elvis           | [♦️ 4] [♠️ 6]        | 💰  1326

🎴 PREFLOP
Board: [  ]
  Xun             | [♠️ J] [♥️ 5] |   21.50% | ✅ call:$10
  PlayerXinZhu    | [♥️ A] [♣️ 5] |   48.30% | ❌ fold
  Elvis           | [♦️ 4] [♠️ 6] |   41.60% | ⬆️ raise:$88
  Xun             | [♠️ J] [♥️ 5] |   59.60% | ✅ call:$88

🎴 FLOP
Board: [ [♦️ T] [♠️ 3] [♥️ 9] ]
  Elvis           | [♦️ 4] [♠️ 6] |   24.80% | ❌ fold

🏆 Winner: Xun
Final Stacks:
  Xun            : $   661 📈 (+93)
  PlayerXinZhu   : $  2090 ➡️ (+0)
  Elvis          : $  1248 📉 (-78)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 8
----------------------------------------
Initial State:
👤 Xun             | [♦️ 6] [♥️ 7]        | 💰   651
👤 PlayerXinZhu    | [♣️ A] [♦️ 4]        | 💰  2090
👤 Elvis           | [♠️ 2] [♣️ 5]        | 💰  1243

🎴 PREFLOP
Board: [  ]
  PlayerXinZhu    | [♣️ A] [♦️ 4] |   39.50% | ❌ fold
  Elvis           | [♠️ 2] [♣️ 5] |   41.40% | ⬆️ raise:$15
  Xun             | [♦️ 6] [♥️ 7] |   65.70% | ✅ call:$15

🎴 FLOP
Board: [ [♦️ A] [♦️ K] [♥️ Q] ]
  Elvis           | [♠️ 2] [♣️ 5] |   52.90% | ⬆️ raise:$10
  Xun             | [♦️ 6] [♥️ 7] |   79.30% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $   646 📉 (-5)
  PlayerXinZhu   : $  2090 ➡️ (+0)
  Elvis          : $  1263 📈 (+20)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 9
----------------------------------------
Initial State:
👤 Xun             | [♠️ 2] [♠️ 8]        | 💰   641
👤 PlayerXinZhu    | [♣️ 2] [♥️ 3]        | 💰  2080
👤 Elvis           | [♠️ Q] [♦️ 9]        | 💰  1263

🎴 PREFLOP
Board: [  ]
  Elvis           | [♠️ Q] [♦️ 9] |   56.70% | ⬆️ raise:$15
  Xun             | [♠️ 2] [♠️ 8] |   25.50% | ✅ call:$15
  PlayerXinZhu    | [♣️ 2] [♥️ 3] |   22.80% | ❌ fold

🎴 FLOP
Board: [ [♦️ T] [♥️ A] [♦️ 7] ]
  Xun             | [♠️ 2] [♠️ 8] |   22.50% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $   631 📉 (-10)
  PlayerXinZhu   : $  2080 ➡️ (+0)
  Elvis          : $  1288 📈 (+25)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 10
----------------------------------------
Initial State:
👤 Xun             | [♣️ K] [♥️ K]        | 💰   631
👤 PlayerXinZhu    | [♦️ 8] [♦️ A]        | 💰  2075
👤 Elvis           | [♠️ 6] [♠️ A]        | 💰  1278

🎴 PREFLOP
Board: [  ]
  Xun             | [♣️ K] [♥️ K] |   66.00% | ✅ call:$10
  PlayerXinZhu    | [♦️ 8] [♦️ A] |   19.70% | ❌ fold
  Elvis           | [♠️ 6] [♠️ A] |   35.20% | ⬆️ raise:$219
  Xun             | [♣️ K] [♥️ K] |   65.10% | ✅ call:$219

🎴 FLOP
Board: [ [♦️ 4] [♥️ Q] [♣️ 4] ]
  Elvis           | [♠️ 6] [♠️ A] |   12.40% | ⬆️ raise:$10
  Xun             | [♣️ K] [♥️ K] |   87.60% | ✅ call:$10

🎴 TURN
Board: [ [♦️ 4] [♥️ Q] [♣️ 4] [♥️ 5] ]
  Elvis           | [♠️ 6] [♠️ A] |    8.30% | ⬆️ raise:$10
  Xun             | [♣️ K] [♥️ K] |   91.70% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $   402 📉 (-229)
  PlayerXinZhu   : $  2075 ➡️ (+0)
  Elvis          : $  1522 📈 (+244)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 11
----------------------------------------
Initial State:
👤 Xun             | [♥️ 9] [♣️ Q]        | 💰   392
👤 PlayerXinZhu    | [♥️ 7] [♦️ 3]        | 💰  2075
👤 Elvis           | [♥️ T] [♥️ A]        | 💰  1517

🎴 PREFLOP
Board: [  ]
  PlayerXinZhu    | [♥️ 7] [♦️ 3] |   22.20% | ❌ fold
  Elvis           | [♥️ T] [♥️ A] |   65.70% | ⬆️ raise:$190
  Xun             | [♥️ 9] [♣️ Q] |   34.90% | ✅ call:$190

🎴 FLOP
Board: [ [♦️ 4] [♣️ 3] [♦️ 5] ]
  Elvis           | [♥️ T] [♥️ A] |   78.80% | ⬆️ raise:$10
  Xun             | [♥️ 9] [♣️ Q] |   24.90% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $   212 📉 (-180)
  PlayerXinZhu   : $  2075 ➡️ (+0)
  Elvis          : $  1712 📈 (+195)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 12
----------------------------------------
Initial State:
👤 Xun             | [♣️ T] [♣️ 7]        | 💰   207
👤 PlayerXinZhu    | [♠️ 8] [♣️ 8]        | 💰  2065
👤 Elvis           | [♦️ J] [♠️ 9]        | 💰  1712

🎴 PREFLOP
Board: [  ]
  Elvis           | [♦️ J] [♠️ 9] |   35.20% | ⬆️ raise:$15
  Xun             | [♣️ T] [♣️ 7] |   29.80% | ✅ call:$15
  PlayerXinZhu    | [♠️ 8] [♣️ 8] |   35.80% | ❌ fold

🎴 FLOP
Board: [ [♥️ 3] [♦️ 9] [♠️ J] ]
  Xun             | [♣️ T] [♣️ 7] |   18.50% | ✅ call
  Elvis           | [♦️ J] [♠️ 9] |   81.50% | ⬆️ raise:$1697
  Xun             | [♣️ T] [♣️ 7] |   18.50% | ✅ call:$1697

🎴 TURN
Board: [ [♥️ 3] [♦️ 9] [♠️ J] [♠️ K] ]

🎴 RIVER
Board: [ [♥️ 3] [♦️ 9] [♠️ J] [♠️ K] [♦️ 3] ]

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 📉 (-207)
  PlayerXinZhu   : $  2065 ➡️ (+0)
  Elvis          : $  1934 📈 (+222)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 13
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♥️ T] [♠️ 3]        | 💰  2055
👤 Elvis           | [♥️ 3] [♦️ A]        | 💰  1929

🎴 PREFLOP
Board: [  ]
  Elvis           | [♥️ 3] [♦️ A] |   76.10% | ✅ call:$10
  PlayerXinZhu    | [♥️ T] [♠️ 3] |   25.40% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  2055 ➡️ (+0)
  Elvis          : $  1944 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 14
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♥️ 5] [♥️ 2]        | 💰  2050
👤 Elvis           | [♦️ 3] [♠️ 7]        | 💰  1934

🎴 PREFLOP
Board: [  ]
  PlayerXinZhu    | [♥️ 5] [♥️ 2] |   49.70% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  2050 ➡️ (+0)
  Elvis          : $  1949 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 15
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♦️ K] [♥️ 2]        | 💰  2040
👤 Elvis           | [♠️ 9] [♦️ T]        | 💰  1944

🎴 PREFLOP
Board: [  ]
  Elvis           | [♠️ 9] [♦️ T] |   44.60% | ✅ call:$10
  PlayerXinZhu    | [♦️ K] [♥️ 2] |   56.10% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  2040 ➡️ (+0)
  Elvis          : $  1959 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 16
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♦️ A] [♠️ J]        | 💰  2035
👤 Elvis           | [♥️ 2] [♠️ 8]        | 💰  1949

🎴 PREFLOP
Board: [  ]
  PlayerXinZhu    | [♦️ A] [♠️ J] |   67.70% | ❌ fold

🏆 Winner: Elvis
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  2035 ➡️ (+0)
  Elvis          : $  1964 📈 (+15)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 17
----------------------------------------
Initial State:
👤 PlayerXinZhu    | [♣️ 4] [♥️ 2]        | 💰  2025
👤 Elvis           | [♣️ 2] [♠️ 9]        | 💰  1959

🎴 PREFLOP
Board: [  ]
  Elvis           | [♣️ 2] [♠️ 9] |   74.80% | ❌ fold

🏆 Winner: PlayerXinZhu
Final Stacks:
  Xun            : $     0 ➡️ (+0)
  PlayerXinZhu   : $  2040 📈 (+15)
  Elvis          : $  1959 ➡️ (+0)
  ZheyuX         : $     0 ➡️ (+0)
----------------------------------------

🔄 Round 18
----------------------------------------
Initial State:
